dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Physics,gcn,random_node_edge,0.5000,20695.0000,222034.2000,0.9741,0.0068,0.9581,0.0048,0.9574,0.0046
Physics,gcn,random_hybrid,0.5000,20695.0000,239365.0000,0.9703,0.0053,0.9557,0.0051,0.9548,0.0046
Physics,gcn,random_walk,0.5000,20695.0000,268806.8000,0.9705,0.0052,0.9547,0.0045,0.9547,0.0027
Physics,gcn,random_jump,0.5000,20695.0000,268806.8000,0.9706,0.0052,0.9547,0.0044,0.9547,0.0027
Physics,gcn,random_neigbour,0.5000,20695.0000,303798.2000,0.9775,0.0072,0.9551,0.0060,0.9542,0.0045
Physics,gcn,forest_fire,0.5000,20695.0000,311065.8000,0.9719,0.0047,0.9535,0.0044,0.9513,0.0041
Physics,gcn,random_node,0.3000,15176.0000,95775.8000,0.9768,0.0097,0.9555,0.0035,0.9547,0.0052
Physics,gcn,random_degree,0.3000,15176.0000,179909.2000,0.9749,0.0083,0.9473,0.0080,0.9457,0.0079
Physics,gcn,random_pagerank,0.3000,15176.0000,142499.0000,0.9775,0.0089,0.9534,0.0061,0.9522,0.0033
Physics,gcn,random_edge,0.3000,15176.0000,166612.4000,0.9801,0.0054,0.9513,0.0069,0.9493,0.0035
Physics,gcn,random_node_edge,0.3000,15176.0000,124645.4000,0.9722,0.0062,0.9524,0.0052,0.9516,0.0039
Physics,gcn,random_hybrid,0.3000,15176.0000,136483.6000,0.9782,0.0068,0.9547,0.0026,0.9536,0.0035
Physics,gcn,random_walk,0.3000,15176.0000,158892.2000,0.9747,0.0084,0.9500,0.0058,0.9495,0.0048
Physics,gcn,random_jump,0.3000,15176.0000,158892.2000,0.9725,0.0054,0.9492,0.0057,0.9488,0.0039
Physics,gcn,random_neigbour,0.3000,15176.0000,192178.6000,0.9798,0.0075,0.9478,0.0073,0.9476,0.0031
Physics,gcn,forest_fire,0.3000,15176.0000,205083.0000,0.9773,0.0065,0.9441,0.0054,0.9453,0.0061
Physics,gcn,random_node,0.1000,9657.0000,38771.8000,0.9695,0.0199,0.9395,0.0063,0.9383,0.0053
Physics,gcn,random_degree,0.1000,9657.0000,63664.6000,0.9799,0.0171,0.9346,0.0145,0.9325,0.0165
Physics,gcn,random_pagerank,0.1000,9657.0000,51633.8000,0.9846,0.0152,0.9430,0.0076,0.9433,0.0058
Physics,gcn,random_edge,0.1000,9657.0000,61171.4000,0.9842,0.0150,0.9409,0.0077,0.9377,0.0080
