dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
ogbn_arxiv,gcn,random_node,0.5000,101605.0000,422675.1000,0.5805,0.0119,0.5640,0.0092,0.5664,0.0118
ogbn_arxiv,gcn,random_degree,0.5000,101605.0000,871536.8000,0.6441,0.0143,0.5576,0.0143,0.5603,0.0132
ogbn_arxiv,gcn,random_pagerank,0.5000,101605.0000,605662.7000,0.5888,0.0150,0.5587,0.0118,0.5616,0.0128
ogbn_arxiv,gcn,random_edge,0.5000,101605.0000,747817.3000,0.6351,0.0115,0.5594,0.0124,0.5605,0.0119
ogbn_arxiv,gcn,random_node_edge,0.5000,101605.0000,606567.8000,0.5897,0.0189,0.5583,0.0164,0.5628,0.0147
ogbn_arxiv,gcn,random_hybrid,0.5000,101605.0000,677855.6000,0.6043,0.0135,0.5611,0.0122,0.5642,0.0112
ogbn_arxiv,gcn,random_walk,0.5000,101605.0000,754470.5000,0.6117,0.0160,0.5568,0.0151,0.5599,0.0161
ogbn_arxiv,gcn,random_jump,0.5000,101605.0000,754470.5000,0.6145,0.0172,0.5588,0.0126,0.5617,0.0162
ogbn_arxiv,gcn,random_neigbour,0.5000,101605.0000,853611.3000,0.6465,0.0121,0.5620,0.0120,0.5627,0.0097
ogbn_arxiv,gcn,forest_fire,0.5000,101605.0000,856670.1000,0.6449,0.0157,0.5534,0.0160,0.5556,0.0150
ogbn_arxiv,gcn,random_node,0.3000,74510.0000,227991.7000,0.5689,0.0146,0.5463,0.0112,0.5478,0.0113
ogbn_arxiv,gcn,random_degree,0.3000,74510.0000,609862.6000,0.6556,0.0166,0.5353,0.0162,0.5374,0.0144
ogbn_arxiv,gcn,random_pagerank,0.3000,74510.0000,393531.6000,0.6046,0.0178,0.5530,0.0132,0.5552,0.0115
ogbn_arxiv,gcn,random_edge,0.3000,74510.0000,596598.4000,0.6579,0.0063,0.5332,0.0073,0.5346,0.0081
ogbn_arxiv,gcn,random_node_edge,0.3000,74510.0000,390651.9000,0.5982,0.0152,0.5484,0.0111,0.5512,0.0126
ogbn_arxiv,gcn,random_hybrid,0.3000,74510.0000,441885.1000,0.6151,0.0208,0.5510,0.0123,0.5539,0.0136
ogbn_arxiv,gcn,random_walk,0.3000,74510.0000,497932.9000,0.6154,0.0169,0.5382,0.0162,0.5406,0.0144
ogbn_arxiv,gcn,random_jump,0.3000,74510.0000,497932.9000,0.6223,0.0176,0.5432,0.0141,0.5456,0.0116
ogbn_arxiv,gcn,random_neigbour,0.3000,74510.0000,601612.7000,0.6558,0.0151,0.5309,0.0107,0.5319,0.0130
ogbn_arxiv,gcn,forest_fire,0.3000,74510.0000,632339.6000,0.6763,0.0142,0.5194,0.0151,0.5207,0.0130
ogbn_arxiv,gcn,random_node,0.1000,47415.0000,91244.3000,0.5670,0.0359,0.5131,0.0191,0.5156,0.0166
ogbn_arxiv,gcn,random_degree,0.1000,47415.0000,268417.6000,0.6565,0.0195,0.4784,0.0160,0.4800,0.0122
ogbn_arxiv,gcn,random_pagerank,0.1000,47415.0000,190072.8000,0.5826,0.0200,0.4983,0.0124,0.5000,0.0131
ogbn_arxiv,gcn,random_edge,0.1000,47415.0000,230581.9000,0.6404,0.0245,0.4622,0.0204,0.4659,0.0218
ogbn_arxiv,gcn,random_node_edge,0.1000,47415.0000,182036.8000,0.5872,0.0293,0.5008,0.0104,0.5036,0.0158
ogbn_arxiv,gcn,random_hybrid,0.1000,47415.0000,201283.6000,0.5991,0.0281,0.4980,0.0153,0.5008,0.0158
ogbn_arxiv,gcn,random_walk,0.1000,47415.0000,218717.5000,0.6155,0.0374,0.4897,0.0169,0.4920,0.0169
ogbn_arxiv,gcn,random_jump,0.1000,47415.0000,218717.5000,0.6011,0.0153,0.4839,0.0091,0.4869,0.0101
ogbn_arxiv,gcn,random_neigbour,0.1000,47415.0000,265749.6000,0.6546,0.0197,0.4627,0.0221,0.4644,0.0200
ogbn_arxiv,gcn,forest_fire,0.1000,47415.0000,287177.7000,0.6909,0.0349,0.3769,0.0309,0.3770,0.0288
ogbn_arxiv,gcn,random_node,0.0500,40642.0000,66615.8000,0.5315,0.0251,0.4725,0.0126,0.4737,0.0129
ogbn_arxiv,gcn,random_degree,0.0500,40642.0000,172039.7000,0.6493,0.0354,0.4377,0.0172,0.4405,0.0176
ogbn_arxiv,gcn,random_pagerank,0.0500,40642.0000,136635.5000,0.5563,0.0553,0.4516,0.0323,0.4540,0.0303
ogbn_arxiv,gcn,random_edge,0.0500,40642.0000,144847.7000,0.6232,0.0213,0.4181,0.0150,0.4229,0.0147
ogbn_arxiv,gcn,random_node_edge,0.0500,40642.0000,127830.7000,0.5567,0.0292,0.4584,0.0169,0.4604,0.0139
ogbn_arxiv,gcn,random_hybrid,0.0500,40642.0000,138430.9000,0.5561,0.0217,0.4486,0.0159,0.4508,0.0139
ogbn_arxiv,gcn,random_walk,0.0500,40642.0000,145184.3000,0.5729,0.0382,0.4313,0.0227,0.4348,0.0234
ogbn_arxiv,gcn,random_jump,0.0500,40642.0000,145184.3000,0.5660,0.0547,0.4273,0.0314,0.4311,0.0314
ogbn_arxiv,gcn,random_neigbour,0.0500,40642.0000,177329.2000,0.6313,0.0417,0.4078,0.0247,0.4091,0.0207
ogbn_arxiv,gcn,forest_fire,0.0500,40642.0000,159903.6000,0.5751,0.1759,0.2334,0.1001,0.2338,0.1005
