dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
CS,gcn,random_hybrid,0.5000,10999.0000,80863.0000,0.9705,0.0160,0.9232,0.0108,0.9244,0.0096
CS,gcn,random_walk,0.5000,10999.0000,91469.2000,0.9620,0.0102,0.9168,0.0101,0.9151,0.0092
CS,gcn,random_jump,0.5000,10999.0000,91469.2000,0.9668,0.0145,0.9193,0.0119,0.9166,0.0098
CS,gcn,random_neigbour,0.5000,10999.0000,97274.8000,0.9718,0.0156,0.9172,0.0082,0.9197,0.0100
CS,gcn,forest_fire,0.5000,10999.0000,101881.6000,0.9751,0.0266,0.9156,0.0191,0.9194,0.0228
CS,gcn,random_node,0.3000,8066.0000,31623.6000,0.9799,0.0235,0.9110,0.0203,0.9105,0.0212
CS,gcn,random_degree,0.3000,8066.0000,56995.6000,0.9819,0.0140,0.9131,0.0156,0.9110,0.0182
CS,gcn,random_pagerank,0.3000,8066.0000,48655.8000,0.9764,0.0305,0.9133,0.0215,0.9142,0.0225
CS,gcn,random_edge,0.3000,8066.0000,53439.4000,0.9833,0.0108,0.9166,0.0107,0.9149,0.0077
CS,gcn,random_node_edge,0.3000,8066.0000,43815.8000,0.9901,0.0183,0.9202,0.0180,0.9153,0.0212
CS,gcn,random_hybrid,0.3000,8066.0000,46330.6000,0.9841,0.0163,0.9180,0.0134,0.9152,0.0092
CS,gcn,random_walk,0.3000,8066.0000,54718.2000,0.9799,0.0204,0.9144,0.0127,0.9129,0.0156
CS,gcn,random_jump,0.3000,8066.0000,54718.2000,0.9853,0.0178,0.9175,0.0145,0.9166,0.0073
CS,gcn,random_neigbour,0.3000,8066.0000,60708.6000,0.9877,0.0115,0.9123,0.0180,0.9129,0.0195
CS,gcn,forest_fire,0.3000,8066.0000,65412.6000,0.9810,0.0286,0.8986,0.0257,0.8996,0.0262
CS,gcn,random_node,0.1000,5133.0000,12732.0000,0.9999,0.0002,0.8918,0.0078,0.8917,0.0055
CS,gcn,random_degree,0.1000,5133.0000,20083.2000,0.9992,0.0014,0.8968,0.0104,0.8986,0.0067
CS,gcn,random_pagerank,0.1000,5133.0000,17504.4000,0.9945,0.0142,0.8989,0.0111,0.9015,0.0095
CS,gcn,random_edge,0.1000,5133.0000,19528.8000,0.9970,0.0063,0.8976,0.0084,0.8939,0.0106
CS,gcn,random_node_edge,0.1000,5133.0000,16581.4000,0.9999,0.0004,0.8982,0.0089,0.8955,0.0112
CS,gcn,random_hybrid,0.1000,5133.0000,17413.4000,0.9993,0.0015,0.8944,0.0108,0.8945,0.0061
CS,gcn,random_walk,0.1000,5133.0000,20487.2000,0.9967,0.0091,0.8844,0.0191,0.8882,0.0145
CS,gcn,random_jump,0.1000,5133.0000,20487.2000,0.9990,0.0021,0.8907,0.0107,0.8924,0.0102
CS,gcn,random_neigbour,0.1000,5133.0000,23064.4000,0.9944,0.0091,0.8788,0.0174,0.8793,0.0155
CS,gcn,forest_fire,0.1000,5133.0000,25642.8000,0.9878,0.0311,0.8498,0.0171,0.8505,0.0172
CS,gcn,random_node,0.0500,4399.0000,9404.8000,0.9985,0.0040,0.8736,0.0108,0.8721,0.0101
CS,gcn,random_degree,0.0500,4399.0000,12546.0000,1.0000,0.0000,0.8761,0.0084,0.8771,0.0100
CS,gcn,random_pagerank,0.0500,4399.0000,11497.8000,0.9853,0.0301,0.8665,0.0293,0.8644,0.0264
CS,gcn,random_edge,0.0500,4399.0000,12493.0000,0.9997,0.0007,0.8711,0.0081,0.8709,0.0102
CS,gcn,random_node_edge,0.0500,4399.0000,11156.6000,0.9952,0.0145,0.8637,0.0118,0.8660,0.0104
CS,gcn,random_hybrid,0.0500,4399.0000,11455.0000,0.9991,0.0022,0.8680,0.0167,0.8678,0.0119
CS,gcn,random_walk,0.0500,4399.0000,13055.4000,0.9991,0.0022,0.8542,0.0167,0.8558,0.0123
CS,gcn,random_jump,0.0500,4399.0000,13055.4000,0.9993,0.0022,0.8543,0.0188,0.8576,0.0123
CS,gcn,random_neigbour,0.0500,4399.0000,14437.2000,0.9906,0.0276,0.8367,0.0362,0.8362,0.0302
CS,gcn,forest_fire,0.0500,4399.0000,15965.4000,0.9860,0.0344,0.7386,0.0799,0.7365,0.0724
