dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Computers,gcn,random_node_edge,0.5000,8250.0000,249221.0000,0.9277,0.0324,0.8590,0.0203,0.8583,0.0226
Computers,gcn,random_hybrid,0.5000,8250.0000,268304.4000,0.9173,0.0347,0.8547,0.0304,0.8543,0.0295
Computers,gcn,random_walk,0.5000,8250.0000,299136.2000,0.9201,0.0276,0.8489,0.0217,0.8445,0.0245
Computers,gcn,random_jump,0.5000,8250.0000,299136.2000,0.9105,0.0209,0.8433,0.0255,0.8409,0.0238
Computers,gcn,random_neigbour,0.5000,8250.0000,339869.6000,0.9390,0.0176,0.8537,0.0170,0.8451,0.0140
Computers,gcn,forest_fire,0.5000,8250.0000,337374.6000,0.9318,0.0397,0.8290,0.0325,0.8209,0.0329
Computers,gcn,random_node,0.3000,6050.0000,94768.4000,0.9134,0.0528,0.8235,0.0416,0.8151,0.0451
Computers,gcn,random_degree,0.3000,6050.0000,216908.2000,0.8764,0.0735,0.7839,0.0734,0.7736,0.0723
Computers,gcn,random_pagerank,0.3000,6050.0000,177405.4000,0.8729,0.0971,0.7953,0.0767,0.7929,0.0781
Computers,gcn,random_edge,0.3000,6050.0000,199996.6000,0.9259,0.0568,0.8267,0.0452,0.8217,0.0452
Computers,gcn,random_node_edge,0.3000,6050.0000,149416.4000,0.8978,0.0519,0.8132,0.0394,0.8091,0.0388
Computers,gcn,random_hybrid,0.3000,6050.0000,163927.4000,0.9035,0.0575,0.8150,0.0428,0.8118,0.0446
Computers,gcn,random_walk,0.3000,6050.0000,187707.8000,0.8818,0.0752,0.7940,0.0676,0.7841,0.0726
Computers,gcn,random_jump,0.3000,6050.0000,187707.8000,0.9210,0.0484,0.8295,0.0374,0.8206,0.0393
Computers,gcn,random_neigbour,0.3000,6050.0000,229784.0000,0.9157,0.0363,0.7942,0.0360,0.7847,0.0308
Computers,gcn,forest_fire,0.3000,6050.0000,227398.2000,0.8798,0.0819,0.6900,0.1009,0.6875,0.1012
Computers,gcn,random_node,0.1000,3850.0000,38595.6000,0.8243,0.0719,0.7034,0.0590,0.7070,0.0526
Computers,gcn,random_degree,0.1000,3850.0000,84963.0000,0.8021,0.1426,0.6469,0.1183,0.6450,0.1178
Computers,gcn,random_pagerank,0.1000,3850.0000,69563.8000,0.7202,0.2483,0.6209,0.2020,0.6160,0.1984
Computers,gcn,random_edge,0.1000,3850.0000,75490.6000,0.7829,0.1836,0.6442,0.1704,0.6464,0.1732
Computers,gcn,random_node_edge,0.1000,3850.0000,60128.4000,0.8434,0.0682,0.7262,0.0560,0.7227,0.0514
Computers,gcn,random_hybrid,0.1000,3850.0000,65254.6000,0.8663,0.0825,0.7320,0.0577,0.7339,0.0636
Computers,gcn,random_walk,0.1000,3850.0000,71710.6000,0.7654,0.2167,0.6422,0.1639,0.6380,0.1667
Computers,gcn,random_jump,0.1000,3850.0000,71710.6000,0.7587,0.1974,0.6434,0.1560,0.6479,0.1635
Computers,gcn,random_neigbour,0.1000,3850.0000,94864.0000,0.7034,0.1934,0.4819,0.1347,0.4721,0.1254
Computers,gcn,forest_fire,0.1000,3850.0000,83135.4000,0.8343,0.1109,0.4830,0.1648,0.4862,0.1640
Computers,gcn,random_node,0.0500,3300.0000,28333.4000,0.7405,0.1433,0.6082,0.1015,0.6042,0.1005
Computers,gcn,random_degree,0.0500,3300.0000,52351.8000,0.6327,0.1655,0.4742,0.1426,0.4717,0.1470
Computers,gcn,random_pagerank,0.0500,3300.0000,43984.8000,0.7173,0.2401,0.5904,0.1779,0.5925,0.1727
Computers,gcn,random_edge,0.0500,3300.0000,47298.6000,0.8117,0.1195,0.6082,0.1106,0.6081,0.1125
Computers,gcn,random_node_edge,0.0500,3300.0000,39501.4000,0.8451,0.1779,0.6755,0.1212,0.6774,0.1212
Computers,gcn,random_hybrid,0.0500,3300.0000,42688.0000,0.8293,0.1516,0.6654,0.1068,0.6659,0.1075
Computers,gcn,random_walk,0.0500,3300.0000,46181.6000,0.7852,0.1603,0.6161,0.1213,0.6151,0.1232
Computers,gcn,random_jump,0.0500,3300.0000,46181.6000,0.7688,0.1881,0.6111,0.1306,0.6124,0.1331
Computers,gcn,random_neigbour,0.0500,3300.0000,60700.8000,0.5724,0.2142,0.2833,0.0926,0.2877,0.0966
Computers,gcn,forest_fire,0.0500,3300.0000,48925.2000,0.6613,0.2716,0.3461,0.1762,0.3504,0.1678
