dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Photo,gcn,random_node_edge,0.5000,4590.0000,116559.6000,0.9663,0.0265,0.9077,0.0308,0.9097,0.0246
Photo,gcn,random_hybrid,0.5000,4590.0000,124112.0000,0.9642,0.0187,0.9127,0.0151,0.9080,0.0207
Photo,gcn,random_walk,0.5000,4590.0000,137768.4000,0.9690,0.0154,0.9088,0.0183,0.9037,0.0253
Photo,gcn,random_jump,0.5000,4590.0000,137768.4000,0.9561,0.0419,0.9016,0.0336,0.8943,0.0381
Photo,gcn,random_neigbour,0.5000,4590.0000,155300.8000,0.9552,0.0336,0.8907,0.0349,0.8885,0.0370
Photo,gcn,forest_fire,0.5000,4590.0000,155079.2000,0.8510,0.2376,0.7158,0.2035,0.7265,0.1966
Photo,gcn,random_node,0.3000,3366.0000,45421.0000,0.9495,0.0374,0.8764,0.0352,0.8763,0.0363
Photo,gcn,random_degree,0.3000,3366.0000,94490.6000,0.9675,0.0212,0.8836,0.0263,0.8840,0.0232
Photo,gcn,random_pagerank,0.3000,3366.0000,79187.8000,0.9461,0.0414,0.8772,0.0344,0.8680,0.0467
Photo,gcn,random_edge,0.3000,3366.0000,89135.6000,0.9562,0.0273,0.8809,0.0236,0.8730,0.0335
Photo,gcn,random_node_edge,0.3000,3366.0000,68368.0000,0.9453,0.0384,0.8742,0.0490,0.8708,0.0445
Photo,gcn,random_hybrid,0.3000,3366.0000,73191.6000,0.9562,0.0426,0.8824,0.0404,0.8831,0.0460
Photo,gcn,random_walk,0.3000,3366.0000,82521.2000,0.9569,0.0378,0.8821,0.0387,0.8764,0.0377
Photo,gcn,random_jump,0.3000,3366.0000,82521.2000,0.9538,0.0400,0.8758,0.0470,0.8713,0.0500
Photo,gcn,random_neigbour,0.3000,3366.0000,99869.8000,0.9764,0.0471,0.8782,0.0416,0.8760,0.0413
Photo,gcn,forest_fire,0.3000,3366.0000,102869.8000,0.6839,0.2490,0.4809,0.2308,0.4818,0.2308
Photo,gcn,random_node,0.1000,2142.0000,18376.2000,0.9394,0.0487,0.8486,0.0452,0.8434,0.0482
Photo,gcn,random_degree,0.1000,2142.0000,35268.0000,0.8901,0.2417,0.7846,0.2163,0.7790,0.2245
Photo,gcn,random_pagerank,0.1000,2142.0000,29608.0000,0.9850,0.0348,0.8831,0.0284,0.8766,0.0264
Photo,gcn,random_edge,0.1000,2142.0000,33152.6000,0.9655,0.0381,0.8485,0.0329,0.8375,0.0415
Photo,gcn,random_node_edge,0.1000,2142.0000,26703.4000,0.9179,0.0922,0.8092,0.0856,0.8111,0.0908
Photo,gcn,random_hybrid,0.1000,2142.0000,28705.8000,0.9343,0.0767,0.8296,0.0854,0.8182,0.0929
Photo,gcn,random_walk,0.1000,2142.0000,31905.4000,0.9039,0.1815,0.7832,0.1703,0.7859,0.1600
Photo,gcn,random_jump,0.1000,2142.0000,31905.4000,0.9001,0.1840,0.7763,0.1763,0.7867,0.1662
Photo,gcn,random_neigbour,0.1000,2142.0000,40567.4000,0.7614,0.2585,0.5816,0.2460,0.5870,0.2519
Photo,gcn,forest_fire,0.1000,2142.0000,37248.8000,0.5775,0.2716,0.1845,0.1060,0.1863,0.1007
Photo,gcn,random_node,0.0500,1836.0000,13564.2000,0.9779,0.0364,0.8372,0.0366,0.8350,0.0346
Photo,gcn,random_degree,0.0500,1836.0000,22074.2000,0.7961,0.3100,0.6723,0.2754,0.6756,0.2760
Photo,gcn,random_pagerank,0.0500,1836.0000,19032.6000,0.8614,0.2542,0.7450,0.2119,0.7371,0.2180
Photo,gcn,random_edge,0.0500,1836.0000,20866.2000,0.9561,0.0564,0.8028,0.0639,0.7940,0.0726
Photo,gcn,random_node_edge,0.0500,1836.0000,17984.0000,0.9818,0.0291,0.8417,0.0304,0.8404,0.0386
Photo,gcn,random_hybrid,0.0500,1836.0000,18937.6000,0.9378,0.0646,0.8047,0.0556,0.8038,0.0572
Photo,gcn,random_walk,0.0500,1836.0000,20230.0000,0.8760,0.1639,0.6912,0.1678,0.7004,0.1590
Photo,gcn,random_jump,0.0500,1836.0000,20230.0000,0.8574,0.1826,0.6819,0.1868,0.6854,0.1779
Photo,gcn,random_neigbour,0.0500,1836.0000,25195.4000,0.6566,0.3196,0.4324,0.2863,0.4285,0.2755
Photo,gcn,forest_fire,0.0500,1836.0000,22797.8000,0.7351,0.2037,0.1355,0.0803,0.1401,0.0815
