dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
CiteSeer,gcn,random_edge,0.5000,1994.0000,5247.8000,0.7268,0.0777,0.6185,0.0430,0.6308,0.0516
CiteSeer,gcn,random_node_edge,0.5000,1994.0000,4375.2000,0.6940,0.1090,0.6074,0.0818,0.6302,0.0847
CiteSeer,gcn,random_hybrid,0.5000,1994.0000,4742.8000,0.6972,0.0875,0.6117,0.0638,0.6203,0.0535
CiteSeer,gcn,random_walk,0.5000,1994.0000,5265.6000,0.7502,0.1066,0.6298,0.0818,0.6384,0.0748
CiteSeer,gcn,random_jump,0.5000,1994.0000,5265.6000,0.7500,0.1056,0.6302,0.0797,0.6379,0.0744
CiteSeer,gcn,random_neigbour,0.5000,1994.0000,5246.2000,0.6940,0.0830,0.6041,0.0783,0.6153,0.0819
CiteSeer,gcn,forest_fire,0.5000,1994.0000,6287.2000,0.7353,0.0631,0.5885,0.0608,0.5924,0.0727
CiteSeer,gcn,random_node,0.3000,1462.0000,1786.0000,0.6527,0.1107,0.5356,0.0927,0.5477,0.0827
CiteSeer,gcn,random_degree,0.3000,1462.0000,3171.0000,0.7087,0.1165,0.5792,0.0957,0.5764,0.0935
CiteSeer,gcn,random_pagerank,0.3000,1462.0000,2392.0000,0.6691,0.0916,0.5518,0.0727,0.5750,0.0528
CiteSeer,gcn,random_edge,0.3000,1462.0000,3145.8000,0.7291,0.0944,0.5716,0.0835,0.5764,0.0773
CiteSeer,gcn,random_node_edge,0.3000,1462.0000,2641.0000,0.6864,0.0855,0.5576,0.0740,0.5709,0.0756
CiteSeer,gcn,random_hybrid,0.3000,1462.0000,2860.8000,0.7254,0.0747,0.6007,0.0468,0.6068,0.0573
CiteSeer,gcn,random_walk,0.3000,1462.0000,3293.0000,0.7470,0.0629,0.5919,0.0534,0.6097,0.0604
CiteSeer,gcn,random_jump,0.3000,1462.0000,3293.0000,0.7588,0.0562,0.5944,0.0489,0.6129,0.0510
CiteSeer,gcn,random_neigbour,0.3000,1462.0000,3330.4000,0.6923,0.1113,0.5677,0.0956,0.5670,0.0942
CiteSeer,gcn,forest_fire,0.3000,1462.0000,4404.8000,0.7597,0.0411,0.5170,0.0501,0.5146,0.0697
CiteSeer,gcn,random_node,0.1000,930.0000,735.6000,0.7095,0.1167,0.4667,0.0824,0.4618,0.0577
CiteSeer,gcn,random_degree,0.1000,930.0000,1170.6000,0.7334,0.0465,0.4812,0.0430,0.4981,0.0289
CiteSeer,gcn,random_pagerank,0.1000,930.0000,912.2000,0.7437,0.0961,0.5021,0.0681,0.5005,0.0713
CiteSeer,gcn,random_edge,0.1000,930.0000,1197.2000,0.7530,0.0782,0.4993,0.0567,0.5046,0.0809
CiteSeer,gcn,random_node_edge,0.1000,930.0000,1077.8000,0.6261,0.1396,0.4333,0.0904,0.4294,0.0809
CiteSeer,gcn,random_hybrid,0.1000,930.0000,1167.2000,0.7237,0.0758,0.4778,0.0685,0.4796,0.0640
CiteSeer,gcn,random_walk,0.1000,930.0000,1356.4000,0.7318,0.1322,0.4653,0.0885,0.4698,0.0904
CiteSeer,gcn,random_jump,0.1000,930.0000,1356.4000,0.7310,0.1322,0.4658,0.0878,0.4697,0.0895
CiteSeer,gcn,random_neigbour,0.1000,930.0000,1388.2000,0.7386,0.0808,0.4822,0.0927,0.4867,0.0707
CiteSeer,gcn,forest_fire,0.1000,930.0000,1943.0000,0.7734,0.0975,0.3403,0.1062,0.3385,0.0985
CiteSeer,gcn,random_node,0.0500,797.0000,541.6000,0.6812,0.1472,0.3618,0.0699,0.3522,0.0808
CiteSeer,gcn,random_degree,0.0500,797.0000,754.6000,0.7727,0.1368,0.4441,0.0754,0.4408,0.0653
CiteSeer,gcn,random_pagerank,0.0500,797.0000,640.8000,0.7249,0.0934,0.4216,0.0600,0.4033,0.0578
CiteSeer,gcn,random_edge,0.0500,797.0000,771.8000,0.7236,0.1169,0.3831,0.0829,0.3944,0.0701
CiteSeer,gcn,random_node_edge,0.0500,797.0000,717.4000,0.7135,0.0904,0.3821,0.0754,0.3833,0.0985
CiteSeer,gcn,random_hybrid,0.0500,797.0000,754.2000,0.7109,0.1258,0.3871,0.0733,0.3816,0.0529
CiteSeer,gcn,random_walk,0.0500,797.0000,859.4000,0.7513,0.1295,0.3897,0.0882,0.3924,0.0878
CiteSeer,gcn,random_jump,0.0500,797.0000,859.4000,0.7520,0.1277,0.3901,0.0871,0.3911,0.0894
CiteSeer,gcn,random_neigbour,0.0500,797.0000,898.6000,0.7775,0.1140,0.4167,0.0606,0.4357,0.0524
CiteSeer,gcn,forest_fire,0.0500,797.0000,1130.2000,0.6212,0.1869,0.1639,0.0798,0.1739,0.0836
