dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Cora,gcn,random_hybrid,0.5000,1623.0000,5204.4000,0.8836,0.0427,0.7895,0.0521,0.7761,0.0413
Cora,gcn,random_walk,0.5000,1623.0000,5631.6000,0.8506,0.0442,0.7458,0.0583,0.7586,0.0463
Cora,gcn,random_jump,0.5000,1623.0000,5631.6000,0.8505,0.0439,0.7464,0.0583,0.7575,0.0457
Cora,gcn,random_neigbour,0.5000,1623.0000,5690.0000,0.8551,0.0523,0.7459,0.0426,0.7472,0.0480
Cora,gcn,forest_fire,0.5000,1623.0000,6256.4000,0.8206,0.0695,0.6818,0.0724,0.6794,0.0891
Cora,gcn,random_node,0.3000,1190.0000,1971.6000,0.8227,0.1020,0.6836,0.0885,0.6882,0.0744
Cora,gcn,random_degree,0.3000,1190.0000,3227.2000,0.8276,0.0515,0.7113,0.0562,0.6983,0.0451
Cora,gcn,random_pagerank,0.3000,1190.0000,2870.6000,0.8147,0.0898,0.7012,0.0870,0.6927,0.0663
Cora,gcn,random_edge,0.3000,1190.0000,3093.6000,0.8275,0.0677,0.6918,0.0655,0.6920,0.0371
Cora,gcn,random_node_edge,0.3000,1190.0000,2982.2000,0.7903,0.1093,0.6498,0.0868,0.6615,0.0721
Cora,gcn,random_hybrid,0.3000,1190.0000,3127.2000,0.8413,0.0566,0.6995,0.0580,0.7043,0.0458
Cora,gcn,random_walk,0.3000,1190.0000,3504.4000,0.8227,0.0918,0.6912,0.0696,0.6982,0.0773
Cora,gcn,random_jump,0.3000,1190.0000,3504.4000,0.8225,0.0917,0.6911,0.0696,0.6990,0.0778
Cora,gcn,random_neigbour,0.3000,1190.0000,3566.8000,0.7957,0.1163,0.6451,0.1028,0.6520,0.0968
Cora,gcn,forest_fire,0.3000,1190.0000,3935.0000,0.7765,0.1282,0.5295,0.1258,0.5191,0.1269
Cora,gcn,random_node,0.1000,757.0000,789.0000,0.7008,0.1772,0.4876,0.0942,0.5031,0.0802
Cora,gcn,random_degree,0.1000,757.0000,1179.2000,0.8160,0.0937,0.5820,0.0829,0.5859,0.0515
Cora,gcn,random_pagerank,0.1000,757.0000,1099.4000,0.8527,0.0810,0.6234,0.0676,0.6140,0.0395
Cora,gcn,random_edge,0.1000,757.0000,1257.4000,0.8367,0.0777,0.5870,0.0787,0.5666,0.0933
Cora,gcn,random_node_edge,0.1000,757.0000,1233.4000,0.7520,0.1473,0.5279,0.0823,0.5320,0.0709
Cora,gcn,random_hybrid,0.1000,757.0000,1295.2000,0.7791,0.1187,0.5417,0.0815,0.5415,0.0656
Cora,gcn,random_walk,0.1000,757.0000,1418.0000,0.8064,0.1012,0.5148,0.1058,0.5312,0.0929
Cora,gcn,random_jump,0.1000,757.0000,1418.0000,0.8056,0.0990,0.5153,0.1041,0.5299,0.0906
Cora,gcn,random_neigbour,0.1000,757.0000,1480.2000,0.7335,0.1623,0.4884,0.1025,0.4782,0.0931
Cora,gcn,forest_fire,0.1000,757.0000,1526.2000,0.7847,0.1893,0.3027,0.1010,0.2811,0.0826
Cora,gcn,random_node,0.0500,648.0000,582.6000,0.6636,0.2035,0.3758,0.1066,0.3963,0.0994
Cora,gcn,random_degree,0.0500,648.0000,777.4000,0.7753,0.1548,0.4463,0.1104,0.4552,0.0852
Cora,gcn,random_pagerank,0.0500,648.0000,717.4000,0.6917,0.1733,0.4325,0.0952,0.4377,0.1030
Cora,gcn,random_edge,0.0500,648.0000,799.8000,0.7530,0.0996,0.4591,0.0684,0.4596,0.0496
Cora,gcn,random_node_edge,0.0500,648.0000,827.4000,0.7929,0.1112,0.4653,0.0840,0.4704,0.0731
Cora,gcn,random_hybrid,0.0500,648.0000,823.6000,0.7546,0.1122,0.4233,0.0669,0.4156,0.0676
Cora,gcn,random_walk,0.0500,648.0000,909.2000,0.8167,0.0452,0.4233,0.0527,0.4233,0.0647
Cora,gcn,random_jump,0.0500,648.0000,909.2000,0.8168,0.0462,0.4241,0.0541,0.4250,0.0640
Cora,gcn,random_neigbour,0.0500,648.0000,953.8000,0.7855,0.1168,0.4251,0.0616,0.4346,0.0764
Cora,gcn,forest_fire,0.0500,648.0000,910.2000,0.5459,0.3034,0.1551,0.1021,0.1743,0.1110
